"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
4.87055913718372,11.3154445712498,14.778083828632,7.63311613521864e-36,4.17340624693079e-31,70.460853474469,"COL10A1"
-1.49677681367894,7.44220759066492,-13.143961832939,2.80012768024923e-30,7.65484904588133e-26,57.9310135250112,"NES"
-1.72458159396815,9.7607812970916,-12.8257357347715,3.31309463263226e-29,6.03811496797229e-25,55.5135243873693,"SASH1"
-1.68748732547197,9.24098786310949,-12.5508856226601,2.77335992858843e-28,3.79083635238932e-24,53.4344149690793,"FZD4"
3.73571084130134,7.02661270804524,12.2129213680009,3.7310910553472e-27,4.07994806902217e-23,50.8908656709662,"MNX1"
-2.07693711319832,8.15936098544575,-12.1142615910775,7.9438744885826e-27,5.91350527797187e-23,50.1513302584538,"HSPA12B"
-1.31672024556596,9.82334486908594,-12.1120603205455,8.07881621905621e-27,5.91350527797187e-23,50.134846268384,"HYAL2"
2.07744102301996,12.2225397804503,12.103092636874,8.65259117032922e-27,5.91350527797187e-23,50.0677001549625,"OCIAD2"
-1.47600242136713,8.08079230499769,-12.0541240946414,1.25825116373321e-26,6.87948823771135e-23,49.7012583293997,"STARD8"
-2.19452396894361,9.67142348943658,-12.0372866606109,1.43102051078672e-26,7.11282240247852e-23,49.5753444152207,"CDH5"
-2.74675047117505,4.07645953348216,-12.0002365839929,1.89904782884763e-26,8.65253667018701e-23,49.2984296567867,"INKA2"
-3.90015621399453,5.47143081913024,-11.8987247069819,4.11856994224065e-26,1.73217547378467e-22,48.5408268333733,"SERTM1"
2.31548283329691,6.80672931126549,11.8877827825377,4.47654300742329e-26,1.74824992093477e-22,48.4592635186788,"DLG3"
-1.95704213883371,8.27599076231355,-11.8118732647516,7.97654994120703e-26,2.90745245356996e-22,47.8939582879288,"TBX3"
-1.83093323107938,7.17994344687098,-11.7021274588989,1.8355052935534e-25,5.98442601763415e-22,47.0783794764252,"GRK5"
1.78509858167667,13.6384341026757,11.7003279962526,1.86072688248341e-25,5.98442601763415e-22,47.0650239375616,"SFN"
-3.03248492143681,6.97339411508729,-11.6592200748065,2.541054432403e-25,7.71845283842413e-22,46.7600766554378,"SPTBN1"
-1.90189218067044,8.48453268637488,-11.6409099848175,2.91910879674982e-25,8.40011965591033e-22,46.6243442301133,"MMRN2"
4.98389779250122,7.90788785658078,11.6109152082904,3.6632775027828e-25,1.00144848732325e-21,46.4021222017454,"TMPRSS4"
-3.68144052744865,6.80373987068083,-11.5636355131556,5.23811718515241e-25,1.36378122427718e-21,46.0521699918898,"RTKN2"
-2.44777138107589,9.25049283665688,-11.5497518744652,5.81763453011253e-25,1.44581439969956e-21,45.949483997896,"FOXF1"
-1.729853297312,10.7447222181689,-11.5365971212675,6.42555736273188e-25,1.52746673394507e-21,45.8522215698989,"PALM2AKAP2"
-1.8373059283818,7.68852072697408,-11.472001577585,1.04631253328053e-24,2.20027452911973e-21,45.375085934322,"QKI"
-1.81284877854858,7.02734483308505,-11.4636687231245,1.11417214266094e-24,2.2313879140898e-21,45.3135920487027,"SOX17"
-1.94266403057166,7.43934505230594,-11.4204076740245,1.54362934245941e-24,2.91027359651614e-21,44.9945503838847,"RAPGEF4"
-2.11428465599954,6.75813827618299,-11.4133449340793,1.62796101015768e-24,2.96695894101237e-21,44.9424979753264,"BTNL9"
-2.17534777648329,7.96725532774513,-11.3400983712804,2.82468529694777e-24,4.98192479389095e-21,44.403239491871,"RASIP1"
2.02352812625657,6.69636652532436,11.2578768018731,5.23681566272738e-24,8.94759051123812e-21,43.7991634739399,"RASAL1"
-1.99622491798433,6.96284119086618,-11.1942641246031,8.43481995247871e-24,1.39749630576295e-20,43.3327411772787,"ARHGEF26"
-2.2090901642655,8.28792973508774,-11.1748677854426,9.75265403946461e-24,1.56831282237567e-20,43.1906881881286,"CCM2L"
-2.42177374022643,9.94233022539682,-11.1616383978697,1.07672485674036e-23,1.68199804406511e-20,43.0938448750573,"EDNRB"
-1.64020155394911,8.72823279024963,-11.1276621859879,1.38809431558369e-23,2.10816824179273e-20,42.8452957600028,"EIF5"
-2.3739449418623,7.73360102801885,-11.1108689913905,1.57363461365009e-23,2.32536412165726e-20,42.72253671676,"PTPRB"
-2.59825697899757,9.37184025270931,-11.0692860224486,2.14637332332511e-23,3.08823582770528e-20,42.4188210397071,"ROBO4"
-2.80685584333836,7.52863903398741,-11.0448865550997,2.57469896684652e-23,3.51929165030834e-20,42.2407835012626,"KCNK3"
-1.90376199571535,9.17666056152064,-11.0237297915122,3.01439393957711e-23,4.01980460113118e-20,42.0865114458742,"ECSCR"
